,cid,contributor,total,indivs
0,N00035282,Ernst & Young,15500,5500
1,N00035282,Pfizer Inc,14500,0
2,N00035282,Northwestern Mutual,13000,3000
3,N00035282,Blackstone Group,11200,11200
4,N00035282,Cequel III,11200,11200
5,N00035282,Raytheon Technologies,11000,0
6,N00035282,UBS AG,10500,500
7,N00035282,Ameren Corp,10000,0
8,N00035282,American Bankers Assn,10000,0
9,N00035282,American Crystal Sugar,10000,0
