,cid,contributor,total,indivs
0,N00042626,Emily's List,52150,47150
1,N00042626,Democracy Engine,35650,35650
2,N00042626,United for A Strong America,26800,16800
3,N00042626,Dentons,23100,19100
4,N00042626,League of Conservation Voters,20839,12340
5,N00042626,PAC to the Future,20000,0
6,N00042626,Deutsche Telekom,18486,13486
7,N00042626,University of Kansas,17956,17956
8,N00042626,Service Employees International Union,17605,7605
9,N00042626,US Government,16541,16541
