,cid,contributor,total,indivs
0,N00031005,Production Products,28000,28000
1,N00031005,Ozarks Coca-Cola Bottling,16600,16600
2,N00031005,Charles Schwab Corp,11577,11577
3,N00031005,Bartlett Grain,11200,11200
4,N00031005,Crow Holdings,11200,11200
5,N00031005,Loren Cook Co,11200,11200
6,N00031005,Mid Am Building Supply,11200,11200
7,N00031005,Midway Usa,11200,11200
8,N00031005,MS Management Corp,11200,11200
9,N00031005,Orscheln Group,11200,11200
