,cid,contributor,total,indivs
0,N00041620,Jones Financial Companies,36485,32985
1,N00041620,Diamond Pet Foods,27700,27700
2,N00041620,Hunter Engineering,22400,22400
3,N00041620,Orscheln Group,16800,16800
4,N00041620,Hallmark Cards,16019,4019
5,N00041620,Bayer AG,11250,11250
6,N00041620,Charles Schwab Corp,11225,11225
7,N00041620,Bodley Group,11200,11200
8,N00041620,Cepia,11200,11200
9,N00041620,Clawson Farms,11200,11200
