,legislator,party,birthdate,cid,State ,comments
0,Roger Marshall,R,8/9/60,N00037034,KS,Running for Senate
1,Steve Watkins,R,9/18/76,N00042126,KS,Lost primary
2,Sharice Davids,D,5/22/80,N00042626,KS,
3,Ron Estes,R,7/19/56,N00040712,KS,
4,Pat Roberts,R,4/20/36,N00005285,KS,Retiring at end of 116th
5,Jerry Moran,R,5/29/54,N00005282,KS,
