,cid,contributor,total,indivs
0,N00030026,Diamond Pet Foods,40900,40900
1,N00030026,Rock Holdings,21900,11900
2,N00030026,Truist Financial,20000,0
3,N00030026,Charles Schwab Corp,14800,4800
4,N00030026,Veterans United Home Loans,14050,14050
5,N00030026,American Bankers Assn,12968,2968
6,N00030026,Jones Financial Companies,11750,5250
7,N00030026,Crawford Group,11310,3310
8,N00030026,Blackstone Group,11200,11200
9,N00030026,Boeing Co,11100,100
