,cid,contributor,total,indivs
0,N00037034,Nueterra Capital,43600,43600
1,N00037034,Poet LLC,32500,22500
2,N00037034,Burns & McDonnell,22036,12036
3,N00037034,Susan B Anthony List,20200,12400
4,N00037034,Watco Companies,20000,20000
5,N00037034,Goldman Sachs,19100,9100
6,N00037034,Bukaty Companies,18900,18900
7,N00037034,Bristol-Myers Squibb,17600,7600
8,N00037034,Innovative Livestock Services,16800,16800
9,N00037034,Koch Industries,16635,6635
