,legislator,party,birthdate,cid,State,comments
0,William L Clay Jr.,D,7/27/56,N00012460,MO,Lost primary
1,Ann L Wagner,R,9/13/62,N00033106,MO,
2,Blaine Luetkemeyer,R,5/7/52,N00030026,MO,
3,Vicky Hartzler,R,10/13/60,N00031005,MO,
4,Emanuel Cleaver,D,10/26/44,N00026790,MO,
5,Sam Graves,R,11/7/63,N00013323,MO,
6,Billy Long,R,8/11/55,N00030676,MO,
7,Jason Smith,R,6/16/80,N00035282,MO,
8,Roy Blunt,R,1/10/50,N00005195,MO,
9,Josh Hawley,R,12/31/79,N00041620,MO,
