,cid,contributor,total,indivs
0,N00040712,Spirit Aerosystems,21550,11550
1,N00040712,Poet LLC,21200,11200
2,N00040712,Icm Inc,14050,14050
3,N00040712,Wichita Railway Service,13700,13700
4,N00040712,Cox Enterprises,13000,3000
5,N00040712,Morgan Stanley,12000,2000
6,N00040712,Blackstone Group,11450,11450
7,N00040712,Aviation Consulting & Engineering Solu,11200,11200
8,N00040712,Cornejo Construction,11200,11200
9,N00040712,Lrico Services,11200,11200
