,cid,contributor,total,indivs
0,N00030676,Ozarks Coca-Cola Bottling,16800,16800
1,N00030676,Deutsche Telekom,15000,0
2,N00030676,Pinegar Sales,11200,11200
3,N00030676,American Academy of Orthopaedic Surgeons,11000,1000
4,N00030676,Thompson Sales Co,10400,10400
5,N00030676,Ameren Corp,10000,0
6,N00030676,American Crystal Sugar,10000,0
7,N00030676,AT&T Inc,10000,0
8,N00030676,Charter Communications,10000,0
9,N00030676,Cigna Corp,10000,0
